frame,left,right,diff,decision,npu_ms
frame_000000.jpg,-0.002625,0.007178,-0.009802,left,35.8
frame_000001.jpg,-0.004895,0.009521,-0.014417,left,34.9
frame_000002.jpg,-0.006213,0.010400,-0.016614,left,34.8
frame_000003.jpg,-0.006873,0.010937,-0.017810,left,34.5
frame_000004.jpg,-0.007202,0.011182,-0.018384,left,34.8
frame_000005.jpg,-0.007312,0.011328,-0.018640,left,34.7
frame_000006.jpg,-0.007422,0.011426,-0.018848,left,34.5
frame_000007.jpg,-0.009839,0.011328,-0.021167,left,34.7
frame_000008.jpg,0.000305,0.009619,-0.009314,left,34.7
frame_000009.jpg,0.004370,0.007129,-0.002759,left,34.5
frame_000010.jpg,0.006348,0.005957,+0.000391,right,34.7
frame_000011.jpg,0.007300,0.005371,+0.001929,right,34.7
frame_000012.jpg,0.007446,0.004980,+0.002466,right,34.5
frame_000013.jpg,0.002576,0.000928,+0.001648,right,34.7
frame_000014.jpg,0.005835,0.003320,+0.002515,right,34.7
frame_000015.jpg,0.003601,0.005908,-0.002307,left,34.4
frame_000016.jpg,-0.002698,0.005762,-0.008459,left,34.7
frame_000017.jpg,-0.005115,0.004199,-0.009314,left,34.7
frame_000018.jpg,-0.002478,0.002148,-0.004626,left,34.5
frame_000019.jpg,-0.003101,0.001074,-0.004175,left,34.7
frame_000020.jpg,-0.000647,0.000000,-0.000647,left,34.7
frame_000021.jpg,-0.000134,-0.001074,+0.000940,right,34.4
frame_000022.jpg,0.000085,-0.001367,+0.001453,right,34.7
frame_000023.jpg,0.000195,-0.001465,+0.001660,right,34.7
frame_000024.jpg,0.000269,-0.001563,+0.001831,right,34.4
frame_000025.jpg,0.000232,-0.001660,+0.001892,right,34.7
frame_000026.jpg,0.000269,-0.001660,+0.001929,right,34.7
frame_000027.jpg,0.000305,-0.001660,+0.001965,right,34.4
frame_000028.jpg,0.000269,-0.001660,+0.001929,right,34.7
frame_000029.jpg,0.000305,-0.001660,+0.001965,right,34.7
frame_000030.jpg,-0.002185,0.006787,-0.008972,left,34.5
frame_000031.jpg,-0.004675,0.009326,-0.014001,left,34.7
frame_000032.jpg,-0.006104,0.010352,-0.016455,left,34.7
frame_000033.jpg,-0.006799,0.010986,-0.017786,left,34.4
frame_000034.jpg,-0.007166,0.011182,-0.018347,left,34.7
frame_000035.jpg,-0.007349,0.011328,-0.018677,left,34.7
frame_000036.jpg,-0.007422,0.011426,-0.018848,left,34.4
frame_000037.jpg,-0.007568,0.011377,-0.018945,left,34.7
frame_000038.jpg,-0.007751,0.008789,-0.016541,left,34.7
frame_000039.jpg,0.004370,0.009863,-0.005493,left,34.4
frame_000040.jpg,0.007812,0.007520,+0.000293,right,34.7
frame_000041.jpg,0.009607,0.006543,+0.003064,right,34.7
frame_000042.jpg,0.010303,0.005957,+0.004346,right,34.4
frame_000043.jpg,0.010559,0.005420,+0.005139,right,34.7
frame_000044.jpg,0.006934,0.002930,+0.004004,right,34.7
frame_000045.jpg,0.009497,0.002441,+0.007056,right,34.4
frame_000046.jpg,0.005505,0.005322,+0.000183,right,34.7
frame_000047.jpg,-0.000793,0.005420,-0.006213,left,34.7
frame_000048.jpg,-0.007605,0.003076,-0.010681,left,34.4
frame_000049.jpg,0.006091,0.009375,-0.003284,left,34.7
frame_000050.jpg,0.004590,0.004834,-0.000244,left,34.7
frame_000051.jpg,-0.003503,-0.002051,-0.001453,left,34.4
frame_000052.jpg,-0.004089,-0.001270,-0.002820,left,34.7
frame_000053.jpg,-0.004309,-0.000781,-0.003528,left,34.7
frame_000054.jpg,-0.004492,-0.000684,-0.003809,left,34.5
frame_000055.jpg,-0.003467,0.008447,-0.011914,left,34.6
frame_000056.jpg,-0.005481,0.009863,-0.015344,left,34.7
frame_000057.jpg,-0.006433,0.010645,-0.017078,left,34.4
frame_000058.jpg,-0.006982,0.011035,-0.018018,left,34.7
frame_000059.jpg,-0.002698,0.005518,-0.008215,left,34.7
frame_000060.jpg,0.005432,0.008154,-0.002722,left,34.4
frame_000061.jpg,0.007263,0.006982,+0.000281,right,34.7
frame_000062.jpg,0.008142,0.006445,+0.001697,right,34.7
frame_000063.jpg,0.006201,0.003271,+0.002930,right,34.4
frame_000064.jpg,0.004883,0.002979,+0.001904,right,34.7
frame_000065.jpg,0.004736,0.007178,-0.002441,left,34.7
frame_000066.jpg,-0.002478,0.006055,-0.008533,left,34.4
frame_000067.jpg,-0.006982,0.003076,-0.010059,left,34.7
frame_000068.jpg,-0.002808,0.004590,-0.007397,left,34.7
frame_000069.jpg,0.008801,0.007666,+0.001135,right,34.4
frame_000070.jpg,-0.000940,-0.001270,+0.000330,right,34.7
